Bitcoin1BTC	2.42%
Ethereum2ETH	7.12%
Tether3USDT	0.01%
USD Coin4USDC	0.00%
BNB5BNB	17.80%
Binance USD6BUSD	0.03%
XRP7XRP	9.43%
Dogecoin8DOGE	19.48%
Cardano9ADA	15.57%
Polygon10MATIC	11.55%
Dai11DAI	0.01%
Polkadot12DOT	11.28%
TRON13TRX	1.19%
Litecoin14LTC	16.41%
Solana15SOL	9.87%
Shiba Inu16SHIB	11.12%
Uniswap17UNI	12.24%
UNUS SED LEO18LEO	5.08%
Avalanche19AVAX	12.47%
Wrapped Bitcoin20WBTC	2.43%
Toncoin21TON	37.08%
Chainlink22LINK	12.98%
Monero23XMR	4.81%
Cosmos24ATOM	12.35%
Ethereum Classic25ETC	16.83%
Bitcoin Cash26BCH	6.57%
Stellar27XLM	12.08%
Cronos28CRO	13.00%
Algorand29ALGO	15.99%
OKB30OKB	1.53%
Quant31QNT	10.25%
ApeCoin32APE	16.12%
VeChain33VET	12.89%
NEAR Protocol34NEAR	20.02%
Hedera35HBAR	12.57%
Filecoin36FIL	30.52%
Internet Computer37ICP	17.01%
EOS38EOS	14.42%
Pax Dollar39USDP	0.48%
MultiversX (Elrond)40EGLD	14.80%
Bitcoin SV41BSV	4.49%
Terra Classic42LUNC	17.46%
Huobi Token43HT	16.97%
Flow44FLOW	25.40%
Aave45AAVE	11.03%
Tezos46XTZ	16.56%
TrueUSD47TUSD	0.00%
Theta Network48THETA	12.98%
Chiliz49CHZ	21.62%
The Sandbox50SAND	18.05%
USDD51USDD	0.53%
Axie Infinity52AXS	18.38%
Zcash53ZEC	6.47%
Trust Wallet Token54TWT	37.74%
KuCoin Token55KCS	2.35%
Gemini Dollar56GUSD	0.06%
Decentraland57MANA	17.95%
BitTorrent-New58BTT	7.72%
BitDAO59BIT	6.90%
Fantom60FTM	14.43%
PancakeSwap61CAKE	17.60%
Maker62MKR	11.58%
Chain63XCN	33.48%
Aptos64APT	16.02%
The Graph65GRT	20.52%
PAX Gold66PAXG	0.82%
eCash67XEC	15.99%
Klaytn68KLAY	15.87%
IOTA69MIOTA	18.61%
Dash70DASH	8.88%
Neo71NEO	8.14%
Fei USD72FEI	0.55%
THORChain73RUNE	9.22%
Neutrino USD74USDN	30.36%
GMX75GMX	12.63%
Synthetix76SNX	17.03%
Osmosis77OSMO	25.80%
Mina78MINA	15.01%
GateToken79GT	6.90%
Nexo80NEXO	4.37%
EthereumPoW81ETHW	20.34%
Stacks82STX	13.21%
Lido DAO83LDO	3.84%
ImmutableX84IMX	5.80%
Zilliqa85ZIL	16.06%
1inch Network861INCH	13.22%
Curve DAO Token87CRV	13.37%
Casper88CSPR	8.16%
XDC Network89XDC	5.79%
Loopring90LRC	13.56%
Decred91DCR	10.20%
Basic Attention Token92BAT	16.99%
NEM93XEM	9.16%
Holo94HOT	9.84%
Enjin Coin95ENJ	15.90%
Arweave96AR	14.37%
Balancer97BAL	8.14%
Celo98CELO	12.78%
Kava99KAVA	20.65%
Bitcoin Gold100BTG	3.65%